"pop_name","sim","init_total_age1plus","init_vulnerable_ageplus","init_adults_ageplus","adult_frac_within_vulnerable"
"Example",264,7611,4560,3730,0.817982456140351
"Example",265,7611,5985,5358,0.895238095238095
"Example",266,7611,3731,3632,0.973465558831413
"Example",267,7611,4308,4215,0.978412256267409
"Example",268,7611,5722,5243,0.9162880111849
"Example",269,7611,5410,4908,0.90720887245841
"Example",270,7611,4153,3974,0.956898627498194
"Example",271,7611,4662,3858,0.827541827541828
"Example",272,7611,5484,4799,0.87509117432531
"Example",273,7611,4114,3647,0.886485172581429
"Example",274,7611,3824,3586,0.937761506276151
"Example",275,7611,4908,3718,0.757538712306438
"Example",276,7611,3871,3712,0.958925342288814
"Example",277,7611,4543,4412,0.971164428791547
"Example",278,7611,4590,4256,0.92723311546841
"Example",279,7611,4794,4390,0.91572799332499
"Example",280,7611,4576,3664,0.800699300699301
"Example",281,7611,4679,4373,0.934601410557812
"Example",282,7611,6271,5759,0.918354329453038
"Example",283,7611,4334,4016,0.926626672819566
"Example",284,7611,4519,4075,0.901748174374862
"Example",285,7611,4422,3533,0.798959746720941
"Example",286,7611,4791,4402,0.91880609476101
"Example",287,7611,4329,4059,0.937629937629938
"Example",288,7611,4547,3429,0.754123597976688
"Example",289,7611,5841,5358,0.917308680020544
"Example",290,7611,5163,4909,0.950803796242495
"Example",291,7611,5719,5119,0.895086553593286
"Example",292,7611,5274,4945,0.937618505877892
"Example",293,7611,5336,5111,0.957833583208396
"Example",294,7611,5320,4819,0.905827067669173
"Example",295,7611,5415,5237,0.967128347183749
"Example",296,7611,6115,5844,0.9556827473426
"Example",297,7611,5167,4579,0.886200890265144
"Example",298,7611,6117,5966,0.975314696746771
"Example",299,7611,4805,4484,0.933194588969823
"Example",300,7611,5660,5365,0.947879858657244
"Example",301,7611,4867,4500,0.92459420587631
"Example",302,7611,5484,4919,0.896973012399708
"Example",303,7611,6210,5442,0.876328502415459
"Example",304,7611,6011,5149,0.856596240226252
"Example",305,7611,4088,3842,0.939823874755382
"Example",306,7611,4968,4622,0.930354267310789
"Example",307,7611,5925,5647,0.953080168776371
"Example",308,7611,5424,5132,0.946165191740413
"Example",309,7611,5205,4680,0.899135446685879
"Example",310,7611,4299,4088,0.950918818329844
"Example",311,7611,5171,5058,0.978147360278476
"Example",312,7611,5653,5124,0.906421369184504
"Example",313,7611,5824,5122,0.879464285714286
"Example",314,7611,5356,4788,0.89395070948469
"Example",315,7611,5604,5465,0.975196288365453
"Example",316,7611,5594,5151,0.920808008580622
"Example",317,7611,4839,4430,0.915478404629056
"Example",318,7611,5439,5222,0.96010296010296
"Example",319,7611,5560,4903,0.881834532374101
"Example",320,7611,5068,4423,0.872730860299921
"Example",321,7611,4744,4329,0.91252107925801
"Example",322,7611,4920,4310,0.876016260162602
"Example",323,7611,3731,3513,0.941570624497454
"Example",324,7611,4488,3934,0.876559714795009
"Example",325,7611,5214,4388,0.841580360567702
"Example",326,7611,5187,4651,0.896664738770002
"Example",327,7611,4922,4415,0.896993092238927
"Example",328,7611,4387,4249,0.968543423751995
"Example",329,7611,5612,4793,0.854062722736992
"Example",330,7611,5098,4688,0.919576304433111
