"pop_name","sim","init_total_age1plus","init_vulnerable_ageplus","init_adults_ageplus","adult_frac_within_vulnerable"
"Suwannee",183,10975,6471,6049,0.934785968165662
"Suwannee",184,10975,5988,5537,0.924682698730795
"Suwannee",185,10975,5744,4548,0.791782729805014
"Suwannee",186,10975,5136,4183,0.814447040498442
"Suwannee",187,10975,4951,4047,0.81741062411634
"Suwannee",188,10975,4093,3253,0.794771561202052
"Suwannee",189,10975,5659,5294,0.935500971903163
"Suwannee",190,10975,7143,6135,0.858882822343553
"Suwannee",191,10975,4696,3900,0.830494037478705
"Suwannee",192,10975,4698,4129,0.878884631758195
"Suwannee",193,10975,6876,6607,0.9608784176847
"Suwannee",194,10975,5970,5045,0.845058626465662
"Suwannee",195,10975,3443,2459,0.714202730177171
"Suwannee",196,10975,3476,2927,0.842059838895282
"Suwannee",197,10975,4696,4126,0.878620102214651
"Suwannee",198,10975,3072,2929,0.953450520833333
"Suwannee",199,10975,4023,3541,0.880188913745961
"Suwannee",200,10975,5230,4336,0.82906309751434
"Suwannee",201,10975,5419,5078,0.937073260749216
"Suwannee",202,10975,5334,4794,0.898762654668167
"Suwannee",203,10975,6361,5932,0.932557773934916
"Suwannee",204,10975,4324,3660,0.846438482886216
"Suwannee",205,10975,5568,5154,0.925646551724138
"Suwannee",206,10975,4521,4145,0.916832559168326
"Suwannee",207,10975,6304,5543,0.879282994923858
"Suwannee",208,10975,5386,4649,0.863163757890828
"Suwannee",209,10975,3389,3028,0.893478902331071
"Suwannee",210,10975,3712,3172,0.854525862068966
"Suwannee",211,10975,5172,4323,0.83584686774942
"Suwannee",212,10975,5216,4518,0.866180981595092
"Suwannee",213,10975,4749,3460,0.728574436723521
"Suwannee",214,10975,5263,4987,0.947558426752803
"Suwannee",215,10975,7329,5198,0.70923727657252
"Suwannee",216,10975,3918,3471,0.885911179173048
"Suwannee",217,10975,5391,4997,0.926915229085513
"Suwannee",218,10975,6683,5273,0.789016908573994
"Suwannee",219,10975,5126,4643,0.905774483027702
"Suwannee",220,10975,3780,3007,0.795502645502645
"Suwannee",221,10975,4624,4107,0.888192041522491
"Suwannee",222,10975,7111,6432,0.904514133033329
"Suwannee",223,10975,2248,1895,0.84297153024911
"Suwannee",224,10975,5461,4865,0.890862479399377
"Suwannee",225,10975,4609,3350,0.726838793664569
